colonna_a,colonna_b,via,zona,numeri,citta,nome_completo
"VIA DELL'","DELL'","ABETE","6 - A","SNC","CASTELFRANCO DI SOTTO","VIA DELL' ABETE"
"VIA","","ABRUZZI","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  ABRUZZI"
"VIA","","ABRUZZI","9 - B","TUTTI","SAN MINIATO","VIA  ABRUZZI"
"VICOLO","","ABRUZZI","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VICOLO  ABRUZZI"
"VIA DELL'","DELL'","ACACIA","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DELL' ACACIA"
"VIA","","ACCIAIOLO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  ACCIAIOLO"
"VIA DELL'","DELL'","ACERO","6 - A","DAL 7 AL 17 E DAL 4 AL 16","CASTELFRANCO DI SOTTO","VIA DELL' ACERO"
"VIA DEGLI","DEGLI","ACQUAIOLI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEGLI ACQUAIOLI"
"VIA","","ACQUAPENDENTE","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  ACQUAPENDENTE"
"VIA","","AGAZZI ROSA","22","TUTTI","SAN MINIATO","VIA  AGAZZI ROSA"
"VIA","","AGLIATI","14 - A","TUTTI","SAN MINIATO","VIA  AGLIATI"
"VIA","","AIALE","4 - B","DAL 1 AL 127, DAL 2 AL 124, DAL 144 AL 194","CASTELFRANCO DI SOTTO","VIA  AIALE"
"VIA","","AIALE","6 - A","DAL 132 AL 142","CASTELFRANCO DI SOTTO","VIA  AIALE"
"PIAZZALE DEGLI","DEGLI","ALBERI","13 - A","TUTTI","SAN MINIATO","PIAZZALE DEGLI ALBERI"
"PIAZZA","","ALBINONI TOMASO","8 - A","SNC","SAN MINIATO","PIAZZA  ALBINONI TOMASO"
"VIA","","ALDEBARAN","8 - B","TUTTI","SAN MINIATO","VIA  ALDEBARAN"
"VIA","","ALEARDI ALEARDO","12 - A","TUTTI","SAN MINIATO","VIA  ALEARDI ALEARDO"
"VIA","","ALERAMO SIBILLA","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  ALERAMO SIBILLA"
